天干1,地支1,天干2,地支2,天干3,地支3,天干4,地支4,性别,合并,AI评分,评语
10,2,6,8,1,1,8,8,1,乾癸丑己未甲子辛未,3,73年本科，千万富翁很牛X我找到原始提供八字老师：，父母贤能，归国华侨广东人，82年时一年房租收利息一万多，丙申年二婚。乾造：癸丑?己未?甲子?辛未大运：戊午8岁?丁巳?丙辰?乙卯?甲寅甲子日元生己未月，偏财当令。天干甲己自己合财。地支子未穿，财来坏坏。喜丑未冲，冲出官星透在时上生癸印，财生官，官生印，生克有情，命局由浊转清，双未穿子，子丑合，印坏不能取贵。断学历：印星绝处逢生，我断八字时，结合73年时代背景，断大专。提供八字老师讲，命主在国外花钱读的大本。断职业：辛未时，官座比却库，辛是小刀，又生印，断医生。双未穿子，子印受伤，无贵，是个老板。断婚姻：月上己未，己土座比却库，丑未冲，未中乙坏，这是第一妻。时上辛未，未中己是二妻，未上透辛，是官，二婚女带小孩。再看大运，乙卯，比却助身，利财。比却又夺财，必离婚。断财富：财重身弱，印化官生身，千万起。大运乙卯，扶起日元，财上获利巨大。以财上看，三五千万有，因不是本人反馈，包含命主父母财产无法反馈，具体不知道。子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。
10,4,9,11,7,3,3,11,2,坤癸卯壬戌庚寅丙戌,1,女命失手杀夫而引官司，与一般的官非不同，比如拘留几天，是我记得的唯一女命牢狱。坤造特殊案例是不少是风月之人，三儿之类。算命不是猜命，不是概率。命理学是科学，以生辰八字的推理预测。坤：癸卯?壬戌?庚寅?丙戌（空午未）胎元：癸丑??命宫：己未大运：癸亥9?甲子?乙丑?丙寅?丁卯?戊辰庚寅日元生壬戌月，印星当令。庚在戌中有余气，象有点根，戌伏到时，也有根。座下财星，丙透到时上，杀座根通库，寅中长生，又是戌月。好在月上透食，食能制住杀，平安顺利，制不住，杀就是鬼。问丙寅运何事？铁口牢狱。命中财杀都强，好在食伤透干制杀，平安顺利，制不住杀就是鬼。丙寅运，寅是座下寅伏吟到大运，代表命主本人应事。原命食神制杀，寅运食衰地，制不了杀，反生财，财生杀，杀无制成鬼。月时双戌，本是印化杀，但原命年上卯戌合，座下财来坏印，可谓凶神伏藏，大运寅到引动，灾大无比，必有牢狱。反馈失手杀夫，座牢。女命以官为禄，以食伤为福，命局食伤与官交战失衡，小孩父亡母牢狱，人生一悲事。有兴趣的易友，可以研究那年出狱，在公众号回复，超十人反馈。子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。
2,12,5,1,6,12,3,3,2,坤乙亥戊子己亥丙寅,3,一次爱上五六七八个，爆出与十多位男星的私事，司晓迪目前网络最红的女网红。频繁与明星互动、晒聊天记录、发布视频证据，众男星惊慌失措。在感情上突破传统道德观，无论事情真相如何，必然被广大网友唾弃。坤：乙亥?戊子?己亥?丙寅（空辰巳）胎元：己卯??命宫：戊寅大运：己丑2?庚寅?辛卯?壬辰己亥日元生戊子月，财星当令，财在年月日，合生时上官。月上比劫合财，而年上杀克身，财生杀旺，炒在时上丙印透现化杀生身。支双亥合寅，寅中丙坏，财坏印，无贵。初运己丑，庚寅，制财生印，印旺有学历，本科可以读，家境在当地小康有的。辛卯运，乙木见根，杀见根攻身，虚名虚利。财重欲望大，亥卯会，财官代表男人，丙辛合，用食神解放思想，从此一发不可收，快乐开心最重要。命中印有损，言行举止，突破传统，乙巳流年，杀生印旺，印见根印代表流量，目前网上最红，印有损，这属于黑红。壬辰运，财透坏印，辰是比劫助身，收尽众水财，这步运财很丰，而名变小，重在利。明年丙午，印座强根，这次网上事件，问题不大。子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。
2,6,4,12,6,2,10,10,2,坤乙巳丁亥己丑癸酉,2,这是锦老师提供的一手案例，比较少见，群里公开断，好几位老师断得很好，这说明大龙盲派八字打擂群实战过后，老师们水平提高很多，这种盘不好断，猜也不好猜。坤：乙巳?丁亥?己丑 癸酉（空午未）胎元：戊寅??命宫：乙酉大运：戊子8?己丑?庚寅?辛卯?壬辰己丑日元生丁亥月，财星当令月透正印。时上癸酉食神生财，财来坏印。年上乙巳，杀来生印，亥冲巳财坏印，巳酉丑三会，印受损重。命局财重无制，财来坏印，层次不高。问父母关系？断父母乱人伦。反馈：女孩母亲跟婚外男，生了小孩才告诉婚外男她还没有离婚。生完孩子一个月，现在又不想养，孩子上不了户口，送人又送不出去。命中有两财，怎样定位生父才是关键。丁亥月，亥是正财座正位，亥上透丁为母，按理亥是父亲。但巳亥冲，巳是丁的根，这两人关系紧张，流年乙巳，乙可以生丁，没有离婚。巳是丁的根，也是己的根，财重喜印，亥冲巳，巳是祖业，必然不受祖业。从这个角度看，亥与己是有问题，但不够定位亥不是生父。时上癸酉，食生偏财，偏财为父，自己食生的，癸与己的关系更亲密。巳酉丑三会之意，将丁己癸联系在一起，癸必是亲父，不在正位，丁座下亥为正夫，所以母乱人伦。子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。
5,7,4,6,9,5,4,8,1,乾戊午丁巳壬辰丁未,3,命理学在层次流年上能精准，基本出师。实践中，这两项可以准确，客人会信你。今天这个案例，从财格发财亿万，财与体不能平衡，触电溺水亡。中国人传统中多做善事，积德行善，是另一种的身财平衡，可能结果不一样。乾造：戊午?丁巳?壬辰?丁未（空午未）胎元：戊申??命宫：丁巳大运：戊午3?己未?庚申?辛酉?壬戌壬辰日元生丁巳月，财星当令月上透财，支巳午未三会火局，年上透戊杀，杀在年月日时俱有根，双丁会壬，日元只能弃命从财。问庚子年酉月何事？层次？职业？答：火灾出人命，几千万，老板。反馈是钓鱼触电溺水亡，上亿，箱包老板。从财行西方运，火能制金，发财亿万。当时看戊泄火之势，断了几千万。壬戌运庚子年，比却透天助身，逆转命局大势，本来投诚归顺相安无事，现在水火交战，必然出事。水火交战，断火上出问题，实际触电，电取火象没有问题。子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。
1,1,10,10,10,2,7,9,1,乾甲子癸酉癸丑庚申,4,这是锦老师提供的一手案例，命主本人与他是朋友，有微信，户口本都发给他，我看到。群里随时能看到发亿万的盘，真假不确定。各位易友放心研究，一手八字。乾造：甲子?癸酉?癸丑?庚申（空寅卯）胎元：甲子??命宫：丙子大运：甲戌8?乙亥?丙子?丁丑癸丑日元生癸酉月，印星当令月上透比劫，时上庚申，命局印重。申酉从丑中出，日主用丑墓申酉。年上甲子，伤官独透泄秀，时上庚克甲，好在癸化庚生甲。问层次，婚姻，桃花，子女。答：十亿，二婚，桃花多，二三个子女，反馈对。丁丑运，丑墓申酉，甲在丑进气，解决了命口印克伤官的问题，有病有药，自然发大财。丁丑运，财在印库上制印。丁丑运几个流年都是制印，生扶食伤与财，发亿万。癸申酉从丑中出，与伤官配制，应该有不干净的财。命不见财，伤官当财，庚克甲，丑合子，甲子受制，二婚很明显。月上癸从丑中出，生年上的伤官，月癸代表命主自己想法，年上伤官生外面的财，桃花当然旺。子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。
3,5,4,10,8,4,8,4,2,坤丙辰丁酉辛卯辛卯,3,一易友想让我讲讲大S命局，感谢信任，以下是个人观点。徐熙媛，别名大S，华冈艺校戏剧科，2001年，出演电视剧《流星花园》，凭借剧中“杉菜”一角走红，2010结婚，2014年生女，2016生子，婚后基本息影，2025年2月2在日本去世。大S年轻时，台湾命理师算她活不过五十岁，那时她一笑置之。你可以不信命，但请对命运保持敬畏。坤：丙辰?丁酉?辛卯?辛卯（空午未）胎元：戊子??命宫：甲午大运：丙申11?乙未?甲午?癸巳辛卯日元生丁酉月，建禄旺相。丁酉禄上透杀，年上丙官合时辛，天干虽官杀混，问题不大，酉月官杀死地。夫宫卯伏吟到时，卯辰穿，财来坏印，双卯冲酉，双卯成林，酉禄被丁杀盖头，双卯冲，支酉禄坏，天干官杀其凶无比，官杀无情克身，婚不会好。丙申运比劫助身，丙官透现来克比劫。原局财来坏印，印星已坏，所以学历不高，艺校相当于中专或者大专。辛卯日柱可以取象为小刀雕刻木材，有艺术表演绘画，是一个影视演员。原局酉当令，卯酉冲禄有损坏，但是到了乙未运，未是她的印，乙木有入墓的象。未土生酉金强旺起来2001辛巳流年比劫克财，巳生未官生印，大红。原命的官星，在酉月死绝之地，乙未运官星进气，官不够旺，所以没有婚姻。甲午运官星见根，官星旺起来，2010庚寅年，比却助身结婚。甲午年生女，据说是拼了一条命，应该是凶险无比。流年七杀见根，才来生杀克身。按照运程来看，她到这一年以后身体应该非常差。旺是第一夫，应该是年上的丙火。丙火坐下是辰土，辰土生酉金，虽然官来克身，但也有相生之情，不算克她。光头是第二夫，坐下的卯木。以财为夫，原命夫宫的双卯冲酉禄，所以第二个老公会克死她。辛卯自己克财，月上禄当令，大S比较自我，固执。制得住财官，就是富贵，制不住财官，就是鬼来崔命。各位易友，请理性求财官，命无不求。有传大S吃违禁品，真假不知，座下的卯为忌，卯是什么？癸巳运食神制官，原命的癸水在辰，癸水不旺，制不住官。命中官杀混杂，大运官星见根，寿尽。甲辰流年，本来癸水克丙丁，甲木泄癸水生丙丁克身，辛被克尽，肺炎去世。命中忌财，去的日本，财星旺地，一切旨是命。子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。
6,4,7,7,6,8,2,12,2,坤己卯庚午己未乙亥,1,这是锦老师提供的一手案例，反馈一看与命盘符合。问题很多，看白了我两根头发。经过大龙盲派八字打擂群，学习提高，老师们答得都很好。都学过刑冲破合害，刑又自怎样？冲又怎样？一用不灵，具体用法，各派有传承，当然大龙盲派有自己的秘传用法。本文用破合实例，揭示一个不堪回首的女命。坤：己卯?庚午?己未?乙亥（空子丑）胎元：辛酉??命宫：丙子大运：辛未1?壬申?癸酉?甲戌己未日元生庚午月，月上见禄透伤官，午未合，身强体旺。时上乙亥，喜伤官生财，年上己卯破午禄，己从午中出生庚伤。问父母兄妹几个？18年19年？有没有钱，什么工作？答：父母感情不和离婚，有兄妹，18，19年下风尘，灰色，小三之类，存不了钱。午为母，庚为父，庚在午死地，母克父。要年上己生，时上乙克己，庚立不住，父母不合离婚。午是己禄，在月上，应该不是独子。18年卯戌合，戌是印库，比劫克财。克财破财，被娱媒公司骗签合同，欠大额赔偿金。从此风尘中滚打。女命月上的禄，人人可以碰，容易下海。午是女命的下体，庚伤官也是下体。卯午破，杀是男人，破的关系是伤害，乙庚合，用体合杀，时上乙亥，杀带财。所以日主与杀发生关系，是为钱。乙禄在卯，卯上透己，年己是卯的妻，所以是小三之类。命中庚不完整，行西方运，可以生财，财不会丰，存不下钱。子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。
1,9,6,6,3,9,1,7,2,坤甲申己巳丙申甲午,1,上一篇风尘女的案例，很多老师很认可，今天再发一位易友与我探讨的案例，一手盘。征得易友同意，愿意与更多易友分享，我发出来。与大龙私下交流的信息，请放心，我会保证隐私，不会私自外发。坤：甲申?己巳?丙申?甲午（空辰巳）胎元：庚申??命宫：庚午大运：戊辰5?丁卯?丙寅乙丑丙申日元生己巳月，月上见禄透伤官，时上甲午印生阳刃，体旺无疑。喜月上己土伤官泄秀生财，可惜年时双甲印合己伤官，层次不高。?月上己土伤官生财，甲己合，印坏事，思想偏激。反馈初中抑郁症哥腕。财弱行东方运，生火克财，家境普通，反馈对。丁卯运生禄，学历不高，高中，反馈是艺术本科。这是风尘女。巳申合，禄合财，申在年其它人老公。巳申合，巳是申的杀，是小孩，申从年伏到日，夹巳合，申是驿马星，男人往来之象。加上伤官坏，思想偏激挣快钱，没道德底线。反馈甲辰年下海，阳刃克财，钱来的快，花的也快，存不了钱。子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。
10,4,2,4,1,3,9,9,1,乾癸卯乙卯甲寅壬申,1,阳刃指五阳干帝旺之处，四正子午卯酉为阳刃，五行纯而气盛，盛处藏衰，冲官劫财凶，阳刃多现，越凶。阳刃架杀，食伤泄秀，可以发富贵，但人生波折大。大运流年引动，凶是分尸，轻则伤残。阴天干不存在阳刃，乙在寅是劫财，寅中有戊丙寅，杂而气散，没有刃一说。今天这个案例，是我没换头像时所断，大家可以参考。乾造：癸卯?乙卯?甲寅?壬申（空子丑）胎元：丙午??命宫：戊午大运：甲寅3?癸丑?壬子?辛亥?庚戌?己酉甲寅日元生乙卯月，阳刃当令月上透干头刃，年上癸卯，印生阳刃，阳刃重重必克父，这盘父必不寿，可惜没反馈。这盘克妻吗？可能小不利妻，不算克妻，易友们可以自己研究下。问17年丁酉年何事？答：见生死。己酉大运丁酉年，大运酉冲卯，流年酉冲卯，阳刃引动，刃指刀刃，要么砍入，要么刃崩。动了阳刃劫财官，命中财弱，财亡命灭，因为财为养命之源。反馈：他弟弟林用镰刀搂他的头部，第一刀没楼上，第二刀奔他脖子，楼他地脑瓜顶上。然后他地家属从地点儿出来拿广锹，将弟弟的撵跑。紧接着就上医院，然后捡条命，至今还是植物人。阳刃的凶，不但本人应，引动一方同样凶，其弟弟肯定被刑。子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。
10,4,1,1,5,7,2,4,2,坤癸卯甲子戊午乙卯,1,剖腹产择日我个人观点，最好不要择日，顺其自然。择日的因果很深，有实力的命师，轻易不可能帮你择日，而能帮你择日的，多数是骗财。这是朋友圈看到一个案例，2岁小孩得白血病，庸师收5万，帮剖腹产择日，这个日子很凶。择好日本想达到最优组合，趋吉避凶，择不好，反而大凶。实践中我帮一个亲戚选了个日子，没想到后面提前出生。坤造：癸卯??甲子??戊午?乙卯（空子丑）胎元：乙卯??命宫：甲寅大运：乙丑5 ?丙寅戊午日元生甲子月，财星当令月上透杀，年上癸卯，时上乙卯，财生官杀旺。戊午日座印化官生身，一看好日子。庸师只知肤浅的命理，有官有印，又有财，很是富贵。不知子午冲，财坏印。双卯破午，印已经损坏严重，非但无大富贵，反而出大灾。年上财生月杀，时上官，官杀混杂财杀党众。甲辰年，七杀透克身，子午冲，卯午破，午坏血液的病，白血病。择日一千位命师，不超过五个能择好日，普通人顺其自然，不择日为好。否则花钱买闹心。多数择日，普通日子，遇到这种庸师与日子，那个人能受得住？子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。
7,7,5,1,7,9,7,5,2,坤庚午戊子庚申庚辰,2,李裕丰群主提供的八字都是一手八字，生活周边的人，反馈详细，真实可靠。看过我公众号文章的易友，对李群主应该了解。19年他问投资，发了自己八字，我断要破财，二三年后反馈，破财好几百万。李群主自己是命理爱好者，建了一个群，当时好多人断他要大发，花好几千，开车几千里，找安徽一大师算命，也是大发。一切都是命，不过李群主还是勇对生活，现在还在实业报国。坤：庚午戊子庚申庚辰（空子丑）胎元：己卯??命宫：丙戌大运：丁亥6?丙戌乙酉甲申癸未壬午辛巳庚申日元生戊子月，伤官当令。庚申天地一气，八专日，支三会伤官，八字克夫比较明显，下个大运，甲申，夫宫伏吟，当是应期。问婚姻应期，断壬寅年反馈是丙申，断错。年上庚午，午为正官，被月上伤官冲克，第一个男友肯定不成。丙戌运，七杀座库，有男人出现，能不能成婚？肯定不能，戌冲辰，开了伤官库，必会分手。问甲午年是否分手，反馈分手。甲午年，三庚争财，财生官，官强，冲伤官，水火相冲，双方火气大，必然分手。所以乙酉运，财来合身，才能动婚。断大专，温饱，质检。反馈是大专，温饱，开网店。月上戊子，印虚透，天干三庚分印，学历不高，大专，温饱。问此命特点，断三会伤官，弃婴送人养，反馈是抱养。子月的金，太寒，喜欢年上午火暧局。命不见财，官当财，年上午官，是祖基，也是养命之源。月上伤官冲，这是离祖之象。辰时出生，伤官库辰悔火，三会伤官，应在生时，必是生下没多久送人。看到此处易友，帮点个赞，谢谢。子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。
